Task,Ground Truth,Property_1,Property_2,Property_3,Property_4,Property_5,Property_6,Property_7,Property_8,Property_9,Property_10,Property_11,Property_12,Property_13,
0_triplex,Ground Truth,Valid,Falsifiable,Valid,Falsifiable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
0_triplex,CoCoSim Result,Valid,Valid,Valid,Falsifiable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
0_triplex,SLDV Result,Valid,Falsifiable,Valid,Falsifiable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
0_triplex,ChatGPT+ESBMC,Falsifiable,Falsifiable,Falsifiable,Falsifiable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
0_triplex,Claude+ESBMC,Falsifiable,Falsifiable,Valid,Valid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1_fsm,Ground Truth,Falsifiable,Valid,Falsifiable,Falsifiable,Valid,Valid,Falsifiable,Falsifiable,Valid,Valid,Falsifiable,Valid,Valid,
1_fsm,CoCoSim Result,Falsifiable,Valid,Falsifiable,Falsifiable,Valid,Valid,Falsifiable,Falsifiable,Valid,Valid,Falsifiable,Valid,Valid,
1_fsm,SLDV Result,Falsifiable,Valid,Falsifiable,Falsifiable,Valid,Valid,Falsifiable,Falsifiable,Valid,Valid,Falsifiable,Valid,Valid,
1_fsm,ChatGPT+ESBMC,Falsifiable,Valid,Falsifiable,Falsifiable,Valid,Valid,Falsifiable,Falsifiable,Valid,Valid,Falsifiable,Valid,Valid,
1_fsm,Claude+ESBMC,Falsifiable,Valid,Falsifiable,Falsifiable,Valid,Valid,Falsifiable,Falsifiable,Valid,Valid,Falsifiable,Valid,Valid,
2_tustin,Ground Truth,Valid,Falsifiable,Falsifiable,Skipped,Skipped,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2_tustin,CoCoSim Result,Valid,Falsifiable,Falsifiable,Skipped,Skipped,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2_tustin,SLDV Result,Valid,Falsifiable,Falsifiable,Skipped,Skipped,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2_tustin,ChatGPT+ESBMC,Error,Error,Error,Error,Error,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2_tustin,Claude+ESBMC,Valid,Falsifiable,Falsifiable,Valid,Valid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3_regulators,Ground Truth,TIMEOUT,Falsifiable,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,Falsifiable,Falsifiable,Falsifiable,Falsifiable,N/A,N/A,N/A,
3_regulators,CoCoSim Result,TIMEOUT,Falsifiable,TIMEOUT,Valid,TIMEOUT,TIMEOUT,Falsifiable,Falsifiable,Falsifiable,Falsifiable,N/A,N/A,N/A,
3_regulators,SLDV Result,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,N/A,N/A,N/A,
3_regulators,ChatGPT+ESBMC,Valid,TIMEOUT,Valid,Valid,TIMEOUT,Valid,Valid,Valid,Valid,Valid,N/A,N/A,N/A,Wrong New finding: fixed input all to 0
3_regulators,Claude+ESBMC,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,Falsifiable,Falsifiable,Falsifiable,Falsifiable,Falsifiable,N/A,N/A,N/A,Valid New finding: ESBMC find a extra overflow
4_nlguide,Ground Truth,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,N/A,N/A,N/A,N/A,N/A,N/A,
4_nlguide,CoCoSim Result,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,N/A,N/A,N/A,N/A,N/A,N/A,
4_nlguide,SLDV Result,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,N/A,N/A,N/A,N/A,N/A,N/A,
4_nlguide,ChatGPT+ESBMC,Error,Error,Error,Error,Error,Error,Error,N/A,N/A,N/A,N/A,N/A,N/A,Validated findings: Loss of Significance
4_nlguide,Claude+ESBMC,Falsifiable,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,N/A,N/A,N/A,N/A,N/A,N/A,
5_nn,Ground Truth,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5_nn,CoCoSim Result,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5_nn,SLDV Result,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5_nn,ChatGPT+ESBMC,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5_nn,Claude+ESBMC,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6_eb,Ground Truth,TIMEOUT,TIMEOUT,Skipped,TIMEOUT,Skipped,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6_eb,CoCoSim Result,TIMEOUT,TIMEOUT,Skipped,TIMEOUT,Skipped,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6_eb,SLDV Result,TIMEOUT,TIMEOUT,Skipped,TIMEOUT,Skipped,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6_eb,ChatGPT+ESBMC,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6_eb,Claude+ESBMC,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8_swim,Ground Truth,Valid,Falsifiable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8_swim,CoCoSim Result,Valid,Falsifiable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8_swim,SLDV Result,TIMEOUT,Falsifiable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8_swim,ChatGPT+ESBMC,Falsifiable,Error,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8_swim,Claude+ESBMC,Falsifiable,Falsifiable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9_euler,Ground Truth,Falsifiable,TIMEOUT,Falsifiable,Falsifiable,TIMEOUT,Falsifiable,Falsifiable,Falsifiable,N/A,N/A,N/A,N/A,N/A,
9_euler,CoCoSim Result,Falsifiable,TIMEOUT,Falsifiable,Falsifiable,TIMEOUT,Falsifiable,Falsifiable,Falsifiable,N/A,N/A,N/A,N/A,N/A,
9_euler,SLDV Result,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,N/A,N/A,N/A,N/A,N/A,
9_euler,ChatGPT+ESBMC,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,N/A,N/A,N/A,N/A,N/A,
9_euler,Claude+ESBMC,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,N/A,N/A,N/A,N/A,N/A,
